"기후기술분류별(1)",기후기술분류별(2),2020,2020,2020,2020,2020,2020,2020
"기후기술분류별(1)",기후기술분류별(2),전체,100억 원 미만,100억 원 이상 500억 원 미만,500억원 이상  1000억 원 미만,1000억 원 이상 2000억 원 미만,2000억 원 이상,기타(공공기관)
"합계",소계,58312,9174,6371,2620,3600,28286,8262
"감축",소계,51217,7235,5084,2280,3163,26263,7191
"감축",비재생에너지,3801,106,9,10,8,556,3112
"감축",재생에너지,9057,1946,1321,798,335,3674,983
"감축",신에너지,2035,474,144,115,39,1208,55
"감축",에너지저장,10172,518,426,282,363,8097,485
"감축",송배전&전력IT,3579,1304,554,279,713,516,212
"감축",에너지수요,22462,2881,2622,796,1698,12125,2339
"감축",온실가스 고정,113,5,9,-,6,86,6
"적응",소계,5819,1672,1200,305,355,1745,541
"적응",농업&축산,1395,477,103,40,101,236,439
"적응",물관리,4030,1028,926,226,253,1498,99
"적응",예측?모니터링,45,41,1,-,-,-,3
"적응",해양수산연안,22,11,3,8,-,-,0
"적응",건강,283,89,150,31,2,11,-
"적응",산림육상,43,26,17,-,-,-,0
"융복합",소계,1277,266,87,34,81,279,530
"융복합",감축 및 적응 융복합,1277,266,87,34,81,279,530
